r_code	name
R249	NIPD using paternal exclusion testing for very rare conditions where familial variant is known
R168	Non-acute porphyrias
R251	Non-invasive prenatal sexing
R75	Oculopharyngeal muscular dystrophy
R41	Optic neuropathy
R102	Osteogenesis imperfecta
R381	Other rare neuromuscular disorders
R374	Other sample to be stored
R27	Paediatric disorders 
R135	Paediatric or syndromic cardiomyopathy
R438	Paediatric pseudo-obstruction syndrome
R166	Palmoplantar keratodermas
R175	Pancreatitis
R312	Parental sequencing for lethal autosomal recessive disorders
R66	Paroxysmal central nervous system disorders
R428	Patient receiving solid organ transplantation (only in cases where passenger lymphocyte syndrome is suspected)
R212	Peutz Jeghers Syndrome
R283	Phenylketonuria
R236	Pigmentary skin disorders
R159	Pituitary hormone deficiency
R190	Pneumothorax - familial
R315	POLG-related disorder
R173	Polycystic liver disease
R301	Possible mitochondrial disorder - mitochondrial DNA depletion testing
R299	Possible mitochondrial disorder - mitochondrial DNA rearrangement testing
R63	Possible mitochondrial disorder - nuclear genes
R300	Possible mitochondrial disorder - whole mitochondrial genome sequencing
R297	Possible structural chromosomal rearrangement - karyotype
R298	Possible structural or mosaic chromosomal abnormality - FISH
R33	Possible X-linked retinitis pigmentosa
R48	Prader-Willi syndrome
R242	Predictive testing for known familial variant(s)
R402	Premature ovarian insufficiency
R448	Prenatal testing
R344	Primary hyperaldosteronism - KCNJ5
R15	Primary immunodeficiency or monogenic inflammatory bowel disease
R136	Primary lymphoedema
R160	Primary pigmented nodular adrenocortical disease
R328	Progressive cardiac conduction disease
R195	Proteinuric renal disease
R420	Pseudoxanthoma elasticum 
R213	PTEN Hamartoma Tumor Syndrome
R426	Pulmonary alveolar microlithiasis
R188	Pulmonary arterial hypertension
R421	Pulmonary Fibrosis, Familial 
R316	Pyruvate dehydrogenase (PDH) deficiency
R92	Rare anaemia
R332	Rare genetic inflammatory skin disorders
R100	Rare syndromic craniosynostosis or isolated multisuture synostosis
R387	Reanalysis of existing data
R318	Recurrent miscarriage with products of conception available for testing
R198	Renal tubulopathies
R189	Respiratory ciliopathies including non-CF bronchiectasis
R32	Retinal disorders
R219	Retinoblastoma
R296	RNA analysis of variants
R373	RNA to be stored
R285	Sandhoff disease
R235	SCID with features of gamma chain deficiency
R376	Segmental or atypical neurofibromatosis type 1 testing
R110	Segmental overgrowth disorders - Deep sequencing
R16	Severe combined immunodeficiency with adenosine deaminase deficiency
R234	Severe combined immunodeficiency with PNP deficiency
R149	Severe early-onset obesity
R88	Severe microcephaly
R130	Short QT syndrome
R52	Short stature - SHOX deficiency
R452	Silver russell syndrome and Temple Syndrome
R323	Sitosterolaemia
R104	Skeletal dysplasia
R76	Skeletal muscle channelopathy
R322	Skin fibroblasts to be cultured and stored
R252	SMA carrier testing at population risk for partners of known carriers
R270	Smith-Lemli-Opitz syndrome
R70	Spinal muscular atrophy type 1 diagnostic test
R71	Spinal muscular atrophy type 1 rare variant testing
R38	Sporadic aniridia
R45	Stickler syndrome
R36	Structural eye disease
R424	Subcutaneous panniculitis T-cell lymphoma (SPTCL)
R138	Sudden unexplained death or survivors of a cardiac event
R192	Surfactant deficiency
R416	Syndromic and non syndromic craniosynostosis involving midline sutures
R286	Tay-Sachs disease
R267	Temple syndrome - maternal uniparental disomy 14
R404	Testing of unaffected individuals for inherited cancer predisposition syndromes
R93	Thalassaemia and other haemoglobinopathies
R25	Thanatophoric dysplasia
R395	Thiamine metabolism dysfunction syndrome 2
R125	Thoracic aortic aneurysm or dissection
R406	Thrombocythaemia
R97	Thrombophilia with a likely monogenic cause
R228	Tuberous sclerosis
R202	Tubulointerstitial kidney disease
R89	Ultra-rare and atypical monogenic disorders
R441	Unexplained death in infancy and sudden unexplained death in childhood  
R257	Unexplained young onset end-stage renal disease
R370	Validation test
R284	Van der Woude syndrome
R442	Variant re-interpretation
R170	Variegate porphyria
R326	Vascular skin disorders
R225	Von Hippel Lindau syndrome
R121	von Willebrand disease
R220	Wilms tumour with features suggestive of predisposition
R172	Wilson disease
R20	Wiskott-Aldrich syndrome
R227	Xeroderma pigmentosum, Trichothiodystrophy or Cockayne syndrome
R111	X-inactivation testing
R411	Y chromosome microdeletion 
